WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
GABBR1	5.92015330377813	5.75674784542998	5.73274136289966	7.09960452398958	6.62684621410466	6.5681059548147
ZNF311	-0.154523382516368	0.682122738300714	-0.254383292008714	-3.83982776888898	-3.68807684763451	-3.0933158779744
TRL-AAG3-1	-3.61395500115367	-2.5229916916039	-3.60488053909285	-1.76943844099758	-3.20265002046427	-3.0933158779744
HCG15	0.0864847169874266	-0.407514474183962	0.263015924899808	0.757107373498256	1.04527749297932	0.851542567833141
RN7SL471P	-1.41232113998401	-2.23348507440891	-3.1194537119226	-1.11736174441788	-0.282084487958672	-5.41524397286176
TRIM27	6.40758024762687	6.15374898885353	6.32733421287554	6.5284604166457	6.74884286058645	6.68771591304836
TRA-TGC7-1	-3.61395500115367	-5.69291669304621	-5.92680863398021	-1.30377486864877	-1.76207742907829	-3.8302814721406
NOP56P1	2.54389716798807	2.19582655585205	3.03608737135705	2.79534617778595	2.96440964728366	3.35624549663884
TRA-TGC6-1	-4.35092059531987	-2.88556177098861	-4.34184613325905	-1.51789967400161	-1.2551174403584	-2.60788905080416
LOC100288016	-0.981686785654153	-1.04906050327149	-1.17192113181674	-1.20755955338946	-1.2551174403584	-1.022926550083
LOC105374297	-0.32117325192582	0.237820644516676	0.139280556477564	-0.54704601966113	-1.055808632135	-0.557262977734188
SDHAP2	4.37586521896393	4.74691419093518	4.11621864961434	4.35689729189705	4.26495552961873	4.05846177675765
MIR570	-0.38129424436339	-0.648522573687757	-0.717355268351259	-0.328865849611596	-1.1520239473943	-0.891682016804747
SMBD1P	-0.32117325192582	-0.266651938344112	-0.0441655846183676	-0.804203859158255	-2.10311434691335	-1.32778113161142
MIR570HG	-1.18099559387756	-0.938029190882742	-1.28295244420548	-1.30377486864877	-1.92254210127153	-1.71480425472067
MUC20	-1.68795558259744	-1.78602609743769	-1.83934579272987	-0.669902767446663	-0.518151846192196	-1.16731645941817
MUC4	3.2011080160392	1.89954034422187	2.0561849407141	6.00472108704047	5.2932050064229	4.3512849357371
LYPLA2P1	2.88110052721435	2.44150962717472	2.94663547853517	3.28325898209208	3.29605674690647	3.86320548535872
