   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
UBE2D1	376	370	498	516	288	191	485	354	471	278	447	502	331	258	447	500
UBE2D2	2619	2795	2373	2590	2120	1481	3350	2732	1418	1184	1041	1043	743	703	1335	1259
UBE2D3	225	295	407	453	308	212	363	336	291	271	51	54	58	58	63	79
UBE2D3P1	17	18	26	16	28	10	34	21	17	31	0	1	0	2	4	0
UBE2D4	350	448	250	481	227	186	279	215	114	107	69	59	12	44	65	84
UBE2E1	258	226	291	217	267	156	536	429	555	396	528	579	500	324	526	569
UBE2E2	1425	1478	1266	1361	885	554	1051	822	655	606	298	247	175	167	255	295
UBE2E3	1232	1408	907	984	795	486	1198	1031	672	448	676	641	593	488	849	835
UBE2F	1220	1392	714	701	366	249	445	423	309	307	504	502	368	332	506	560
UBE2F-SCLY	1	0	0	5	1	2	1	3	6	11	6	3	3	4	0	0
UBE2FP3	0	2	2	13	0	0	1	0	16	5	16	15	21	10	13	15
UBE2G1	55	67	93	84	76	65	69	52	116	110	30	31	51	27	26	27
UBE2G2	5	11	10	11	3	3	1	7	2	5	4	12	10	5	19	9
UBE2H	170	211	244	345	208	125	169	144	45	68	18	15	19	13	7	7
UBE2I	6412	7796	6426	8267	6662	4737	10240	8028	2958	2842	1813	1636	1563	1341	2180	2394
UBE2J1	2	0	0	2	1	0	1	2	0	1	5	8	10	7	8	8
UBE2J2	49	51	18	47	16	28	28	20	13	24	15	19	13	9	17	23
UBE2K	3765	3755	4659	5013	3771	2319	3832	3046	2768	1979	2373	2330	1717	1448	2679	2740
UBE2L3	2547	2983	3015	3553	2832	1890	3502	2823	1728	1390	1058	1030	878	780	1294	1389
UBE2L4	6	6	6	23	7	3	6	2	8	7	1	6	15	6	1	8
UBE2L5P	0	1	0	0	0	0	0	0	24	19	2	0	1	0	1	3
UBE2M	13	14	9	12	6	4	8	9	17	13	15	23	12	12	18	16
UBE2N	25	40	46	76	45	28	35	40	34	36	14	16	20	16	23	38
UBE2O	51	97	81	76	59	48	72	54	65	81	19	28	8	16	20	20
UBE2Q1	46	63	57	73	45	39	41	24	33	29	8	18	5	15	12	15
UBE2Q1-AS1	2	0	0	0	0	1	0	0	14	5	3	3	0	2	2	1
UBE2Q2	28915	30316	33434	34689	42948	26800	58127	47811	16527	13126	2067	1998	1842	1583	1724	2186
UBE2Q2L	72	96	53	72	49	50	80	56	35	23	0	3	0	0	0	0
UBE2Q2P1	9	6	13	21	20	4	17	17	23	23	0	0	1	0	0	1
UBE2Q2P6	4	4	4	6	1	1	3	8	17	22	27	45	44	23	30	49
UBE2QL1	0	0	0	9	0	0	12	11	18	47	4	1	0	6	0	1
UBE2R2	6517	7859	6291	7288	6270	4160	7284	6146	4258	3391	1516	1472	985	917	1427	1455
UBE2S	14	20	25	26	12	9	18	9	60	68	17	15	3	21	10	12
UBE2SP2	112	195	66	90	61	50	108	83	304	282	137	155	93	79	132	159
UBE2T	11	23	56	49	66	28	45	35	24	29	10	6	13	12	11	16
UBE2U	52	56	200	129	127	79	179	149	55	38	21	35	26	15	16	13
UBE2V1	12	25	18	22	21	19	39	26	21	8	5	0	2	0	2	1
UBE2V2	695	674	879	1072	583	322	540	482	708	419	715	748	540	460	844	916
UBE2W	31	31	64	65	34	21	27	22	28	6	4	1	2	1	1	1
UBE2Z	3369	4040	2353	2582	2434	1705	3478	2922	3486	2847	2818	2893	1799	1685	2618	2720
UBE3A	24	32	51	50	44	22	45	37	48	52	19	21	14	9	22	29
UBE3B	2936	3199	2440	2740	2569	1681	3079	2534	1228	1352	365	448	355	403	459	475
UBE3C	2206	2512	2929	2763	2443	1448	2406	1930	1692	1428	2102	2189	1631	1443	2313	2475
UBE3D	5	9	10	13	1	5	5	6	1	8	0	4	6	8	0	3
UBE4A	440	476	519	514	243	185	381	294	1905	1522	1451	1638	1347	1237	1659	1788
UBE4B	3613	3928	3889	4739	4676	2935	4694	3948	2441	2202	1627	1868	1537	1456	1810	1917
UBFD1	7558	8422	7424	8605	9315	6214	12222	10013	6429	5001	2285	2304	2179	1873	2400	2582
UBIAD1	4299	5339	3853	4161	4356	3075	3567	3044	1561	1318	655	664	522	414	728	688
UBL3	20	20	16	29	10	4	9	5	8	7	8	8	12	2	11	14
UBL4A	0	1	0	0	0	0	0	1	1	0	7	9	13	10	8	13
UBL4B	13	15	4	0	6	12	8	3	4	8	0	2	0	0	0	0
UBL5	713	1018	811	946	653	449	1039	792	3277	3031	1363	1264	921	695	1263	1422
UBL7	25	37	13	25	12	10	19	13	34	36	4	6	3	5	10	7
UBL7-AS1	109	113	70	84	89	65	96	89	73	72	33	36	22	32	21	44
UBLCP1	4050	4081	5313	5419	4276	2319	3357	2708	892	711	334	438	351	229	437	520
UBN1	6976	7330	6451	7862	5581	3623	5842	4859	5072	3931	1628	1828	1589	1492	1786	2043
UBN2	4087	4649	4663	4762	5082	3243	5420	4156	13095	10244	1917	2151	1374	1373	1564	1980
UBOX5	7	4	12	4	7	8	7	3	5	1	0	1	1	0	5	4
UBOX5-AS1	2	3	0	0	0	1	3	0	24	24	4	11	6	10	8	3
UBP1	4	8	6	2	3	1	18	9	76	62	13	9	10	14	11	24
UBQLN1	117	132	169	181	150	88	163	123	98	135	37	45	40	45	36	54
UBQLN2	677	693	718	956	742	492	1009	717	1183	1065	859	844	470	410	688	729
UBQLN4	9	17	16	16	4	3	8	5	5	3	10	28	18	10	15	15
UBQLN4P2	60	71	74	53	60	24	47	34	12	21	0	1	0	0	0	0
UBR1	21	25	47	31	37	27	40	23	32	32	13	16	18	16	7	19
UBR2	12059	12687	13545	13973	12755	7817	16818	14447	5070	3970	1429	1498	1118	1173	1449	1582
UBR3	1195	1263	1412	1342	1281	707	1563	1291	1101	920	1105	1218	1291	1148	1301	1283
UBR4	88	126	166	259	156	116	147	103	76	88	42	63	69	70	62	72
UBR5	80	109	166	156	140	116	118	88	154	112	24	34	29	37	34	27
UBR7	3455	3687	3276	3415	3446	2111	4608	3893	3249	2529	552	636	358	341	629	715
UBTD1	88	86	26	40	20	28	69	48	818	655	336	352	302	307	181	175
UBTD2	39	46	37	67	44	33	44	32	17	18	16	14	5	9	10	17
UBTF	37	37	58	74	57	43	50	39	62	54	13	12	29	27	24	43
UBTFL1	0	0	0	0	0	0	12	3	577	457	1	0	3	7	6	13
UBTFL3	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	1
UBTFL7	0	0	3	0	0	0	31	0	614	388	18	12	32	32	2	13
UBXN1	7	28	9	15	1	2	8	1	84	62	15	13	23	8	18	23
UBXN10	263	245	99	131	326	229	370	319	138	120	6	2	0	0	0	6
UBXN11	101	176	121	127	105	86	160	111	123	121	4	4	7	5	4	5
UBXN2A	446	437	473	606	455	280	315	187	2885	2253	577	586	389	370	555	674
UBXN2B	512	519	804	617	650	366	709	615	274	266	683	675	406	557	735	830
UBXN4	6567	6555	9254	9620	9420	5611	9292	7504	4164	3430	1830	1961	1510	1372	1877	2136
UBXN6	24	42	24	41	14	16	25	13	30	32	13	12	8	14	8	9
UBXN7	17	15	25	19	14	14	81	79	111	106	51	50	19	18	29	27
UBXN7-AS1	3	8	0	0	1	3	9	3	72	53	11	8	2	4	2	7
UBXN8	380	390	554	614	393	246	377	255	788	566	294	281	231	178	343	328
UCA1	0	0	8	0	0	0	3	3	32	25	162	125	149	115	158	162
UCHL1	72318	95561	50223	55989	25149	18357	27819	23211	9983	9880	238	228	140	84	172	421
UCHL3	647	707	401	443	114	73	234	184	111	85	164	146	143	124	214	193
UCHL5	5	9	12	11	9	6	5	6	1	2	2	6	1	3	9	10
UCK1	5	3	5	4	0	2	5	3	16	19	4	6	4	5	5	9
UCK2	2460	2881	2482	2686	2358	1782	3267	2705	1063	1076	907	852	622	569	1136	1160
UCKL1	3	6	5	4	2	6	7	4	24	23	2	9	13	17	14	8
UCMA	58	42	55	53	19	11	26	26	7	20	1	0	0	0	0	0
UCP2	64	95	64	74	60	54	75	55	45	45	2	6	5	3	2	6
UFC1	708	898	391	581	391	285	548	448	734	602	832	786	796	667	918	1026
UFD1L	13	20	13	14	6	6	4	3	8	4	7	22	14	12	10	14
UFL1	4529	4479	5750	6324	6060	3550	5018	4201	1114	886	497	503	555	417	630	673
UFM1	917	883	1243	1185	1303	694	1015	813	697	449	1048	920	891	718	976	1006
UFSP2	9	16	12	11	9	1	12	8	2	2	1	1	2	1	3	1
UGCG	2805	2759	3671	3847	3449	2154	2627	2212	1168	769	7637	7415	3119	2665	8052	8721
UGDH	18	24	14	22	32	18	23	34	23	9	3	6	1	5	4	8
UGDH-AS1	3	3	0	8	0	2	6	3	19	7	3	5	0	3	4	3
UGGT1	4008	4303	4359	4623	3617	2288	3290	2736	3492	2517	2209	2066	1836	1867	2681	2850
UGGT2	43	26	23	43	31	5	57	52	95	75	17	21	11	16	8	8
UGP2	13316	12838	14715	14918	13091	7873	14140	11796	3780	2686	2687	2819	2216	1905	2571	2733
UGT8	1644	1643	2330	1958	1832	1164	1522	1215	708	553	121	131	79	70	55	98
UHMK1	4521	4260	5542	5689	5457	3294	5046	3916	6082	4779	2278	2285	2330	1976	2042	2268
UHRF1	48921	68228	55882	71348	79543	59980	89695	72739	30922	30441	625	727	400	390	742	1682
UHRF1BP1	6072	6734	5796	7114	7399	4824	7609	6345	4093	3253	1507	1656	1336	1123	1932	2079
UHRF1BP1L	38	41	33	55	55	39	48	37	41	32	8	7	7	2	5	6
UHRF2	11264	12506	11812	13278	13790	8805	19774	16679	5667	4635	600	742	647	551	719	874
UHRF2P1	7	11	31	13	21	7	24	15	3	12	5	12	12	21	4	9
UIMC1	46	38	62	71	40	32	127	120	135	110	9	19	2	13	11	7
ULBP1	50	50	618	500	29	19	277	223	139	182	81	92	50	76	96	89
ULBP2	3	3	2	18	1	0	6	7	20	50	3	5	0	0	1	1
ULK1	5586	8199	5770	8076	6331	5065	6410	5078	4006	4322	3252	3560	2923	2995	3497	3575
ULK2	36	51	62	61	62	43	86	49	73	73	6	20	6	17	11	7
ULK3	21	36	17	22	15	15	16	14	2	7	5	4	9	4	8	5
ULK4	114	111	110	156	122	64	299	284	371	319	31	48	18	13	18	20
ULK4P2	3	8	0	1	3	6	10	6	5	11	0	0	0	0	2	1
ULK4P3	3	7	1	5	5	8	11	6	7	3	0	1	0	0	1	0
UMAD1	953	973	1108	1247	944	590	1006	811	478	413	215	222	144	145	218	218
UMODL1	1918	2512	1619	1887	1664	1272	2168	1808	614	812	10	12	5	7	6	23
UMPS	1617	1884	1171	1322	812	543	965	738	829	663	1283	1313	821	727	1337	1426
UNC119	2	0	0	1	0	0	1	0	19	9	4	7	2	3	5	5
UNC119B	219	240	142	112	69	48	136	122	97	88	461	393	344	225	471	414
UNC13B	2070	2285	1648	2132	1506	994	1747	1480	1202	1015	701	709	572	568	840	949
UNC13C	27628	27814	25631	25658	19870	11886	28483	23501	13064	9664	204	186	100	60	121	498
UNC13D	29	35	25	36	12	9	17	10	12	22	1	5	1	0	0	3
UNC45A	163	197	131	158	78	40	109	97	76	80	497	601	436	383	551	571
UNC45B	5	8	0	4	3	1	4	2	12	10	1	0	0	0	0	1
UNC50	147	156	263	210	121	82	183	169	97	106	481	451	284	216	408	423
UNC5A	139	167	55	92	84	70	105	78	48	53	11	13	9	0	17	25
UNC5B	109	129	227	439	18	3	119	83	117	79	221	344	703	694	194	141
UNC5C	27	20	32	32	23	16	25	42	10	17	2	0	0	0	1	0
UNC5D	323	394	266	231	342	220	461	351	264	251	33	30	41	32	9	33
UNC79	622	728	759	970	793	623	1000	933	561	413	27	34	4	9	16	18
UNC80	5	2	0	7	3	3	10	5	110	148	15	6	6	5	5	9
UNC93A	1780	2327	1030	1380	1064	823	1495	1278	432	487	8	4	19	24	5	10
UNCX	0	0	0	0	0	0	5	0	138	103	2	1	0	0	0	5
UNG	7418	8642	8715	9903	12551	8665	20217	16686	7814	6379	986	979	947	831	1293	1506
UNK	2915	3356	2275	2572	1585	1088	1359	1101	658	557	375	327	337	350	391	321
UNKL	255	422	397	500	464	356	431	296	101	146	13	17	4	19	9	9
UPB1	1718	2131	1235	1723	1580	1059	1882	1517	769	664	14	13	1	1	4	32
UPF1	8451	10722	8158	10140	9319	6842	9511	7891	6142	5916	3195	3571	2252	2451	3545	3771
UPF2	5	12	23	22	21	6	12	8	40	40	18	18	14	10	15	17
UPF3A	706	913	1201	1345	910	604	843	672	444	332	322	324	327	312	371	393
UPF3B	19	12	7	16	10	11	10	6	28	30	6	16	7	1	6	10
UPK1A	2	3	0	0	0	0	4	4	1	16	6	1	11	0	7	12
UPK2	32	37	15	39	32	31	37	30	8	29	23	36	20	35	37	49
UPP1	352	528	273	361	162	131	298	232	250	177	3417	3416	4304	3751	2814	2709
UPP2	82	114	87	84	67	41	56	70	21	23	2	2	1	1	10	5
UPRT	150	149	173	158	167	97	295	238	106	86	97	100	53	59	84	67
UQCC1	4	6	2	1	4	4	7	6	1	4	4	11	5	7	7	2
UQCC2	16	9	6	9	1	1	2	0	0	2	3	2	2	0	0	5
UQCC3	54	101	62	74	30	36	70	33	764	913	307	235	181	209	317	302
UQCR10	411	637	328	389	91	88	212	163	560	440	865	819	798	609	925	907
UQCR11	24	20	19	23	3	6	4	6	2	3	31	28	30	7	30	43
UQCRB	21	20	17	24	12	9	13	3	12	4	24	22	33	18	19	37
UQCRC1	49	76	40	52	12	20	18	16	10	17	32	43	44	39	53	56
UQCRC2	3985	4944	2958	3117	3076	2027	4397	3540	2999	2426	2148	2172	1499	1611	2631	2634
UQCRFS1	13	14	7	9	6	3	17	12	30	9	20	29	26	24	32	28
UQCRFS1P1	78	80	42	58	60	41	115	113	93	67	175	172	97	125	152	169
UQCRH	370	495	409	499	181	139	392	306	1431	1254	3266	3002	3513	2511	3151	3197
UQCRHL	0	1	1	0	1	2	1	1	8	6	16	33	16	30	16	44
UQCRQ	1742	2444	1417	1870	830	569	884	703	775	737	887	916	808	638	1070	1038
URB1	8	9	17	30	7	5	13	11	48	44	16	8	15	14	16	15
URB1-AS1	16	15	14	6	6	3	12	16	76	64	15	17	6	5	16	7
URB2	124	135	64	106	35	26	146	63	2264	1781	1258	1370	630	692	1240	1434
URGCP	44	54	33	45	22	20	22	20	9	16	0	4	1	2	3	2
URI1	1535	1664	1523	1586	1316	796	1239	981	2432	1961	1414	1294	979	775	1368	1271
URM1	2	3	5	4	3	0	0	1	12	6	24	8	16	13	13	18
UROD	2018	3003	1070	1100	774	588	895	713	763	692	475	406	393	266	448	474
USB1	3232	4267	3915	4010	5229	3564	6165	5356	2649	2398	484	440	362	323	458	436
USE1	52	77	41	36	24	18	52	45	114	120	53	74	76	70	111	82
USF1	6	18	12	6	11	8	11	12	62	48	6	7	19	17	11	16
USF2	1845	3025	2053	3191	2484	2084	2555	2025	1135	1367	812	776	806	715	1067	889
USH2A	47	78	41	59	64	40	76	93	98	69	8	9	4	0	1	4
USMG5	6	9	5	18	0	2	4	4	24	17	50	41	25	17	33	35
USMG5P1	0	0	0	0	0	0	2	0	4	0	6	7	4	2	12	10
USO1	4859	4761	6539	6775	5726	3272	3029	2631	1424	1115	1443	1460	1042	864	1580	1642
USP1	10746	9583	11050	11830	11473	6637	8535	7161	10880	7686	2452	2568	1592	1468	2498	2788
USP10	10771	12052	12018	12823	14655	9506	16149	13837	8962	6851	3424	3525	2386	2489	3605	4096
USP11	3091	4120	2658	2919	3091	2297	4211	3506	2341	2216	318	256	187	146	194	292
USP12	3	2	0	5	4	2	7	4	14	18	5	12	6	2	3	5
USP13	6597	6869	6671	6768	6215	3927	6051	5164	1318	1097	173	190	109	89	133	156
USP14	8511	9227	9344	9823	10335	6637	8844	7509	3892	2880	2424	2539	1912	1758	2843	3359
USP15	3255	3483	4080	4013	3663	2294	4151	3389	2311	1760	1366	1446	770	779	1481	1594
USP16	3126	3164	4007	4192	3503	2143	3939	3285	2302	1781	1254	1375	1026	938	1148	1321
USP17L14P	0	0	0	0	0	0	0	1	6	10	0	0	0	0	0	0
USP17L16P	0	0	0	0	0	0	5	3	6	23	1	1	0	0	0	0
USP17L22	0	0	0	0	0	0	12	10	8	21	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0	4	7	5	13	0	0	0	0	0	0
USP18	195	263	104	74	128	84	200	168	42	43	14	26	4	10	4	3
USP19	6	5	14	26	8	6	8	5	14	18	15	15	12	10	7	22
USP2	174	276	358	438	321	279	352	316	267	284	5	4	1	1	1	5
USP2-AS1	497	687	343	414	277	199	417	345	166	159	39	19	10	14	15	20
USP20	7717	10100	5741	7765	7011	5258	7738	6342	2611	2533	124	196	86	87	164	205
USP21	1692	2032	1304	1729	1661	1203	2365	1987	879	832	143	138	107	106	122	154
USP22	38	55	66	89	62	44	39	48	42	37	49	46	50	35	57	71
USP24	21	53	61	75	65	45	60	39	57	33	29	23	22	14	22	25
USP25	2198	2143	3650	3509	3995	2334	4903	4370	2074	1644	1270	1346	1172	997	1452	1384
USP27X	128	165	138	74	88	40	48	52	48	73	53	47	88	78	36	50
USP28	0	2	3	0	0	1	3	10	15	6	14	14	29	20	19	26
USP29	5	8	0	0	0	3	19	2	675	439	5	9	0	0	3	29
USP3	1942	2067	1682	2046	1716	1101	2277	1916	1247	1010	447	495	257	208	508	545
USP3-AS1	13	12	19	19	7	3	18	7	5	2	1	0	0	0	1	0
USP30	4155	5146	4079	4856	4643	3140	4353	3831	1309	1215	234	205	136	120	221	261
USP31	49	55	51	73	59	53	70	52	28	19	10	6	9	4	9	11
USP32	20	30	33	28	22	15	26	33	48	18	6	17	14	7	16	9
USP32P1	2	1	9	5	0	0	0	3	13	19	10	6	4	3	4	4
USP32P3	1	2	4	21	2	2	4	4	18	6	18	17	11	21	21	16
USP33	14	13	21	33	14	6	7	13	12	20	13	9	5	4	4	12
USP34	224	311	318	521	358	234	374	291	343	300	34	43	41	35	19	30
USP35	7464	9191	5825	7463	8965	6356	11948	10035	2877	2875	159	151	127	102	138	209
USP36	97	154	133	175	136	101	123	94	124	109	44	35	25	37	32	36
USP37	15	24	20	49	15	24	25	14	26	16	13	10	4	8	7	6
USP38	1103	1094	1231	1045	888	608	980	788	3201	2464	1300	1388	641	709	1059	1256
USP39	1979	2358	2000	2048	2290	1578	2736	2380	2258	2093	1555	1622	1014	993	1618	1718
USP4	18	21	11	7	15	8	20	15	8	19	1	7	5	11	4	5
USP40	9	8	9	13	24	10	14	3	8	6	2	4	1	1	2	2
USP42	612	722	543	550	485	348	516	383	2174	2097	661	859	663	612	710	724
USP43	1468	1682	1300	1817	1811	1333	1689	1312	820	767	806	801	507	409	876	974
USP44	16	19	14	49	23	33	15	18	3	5	1	0	0	0	0	0
USP45	47	41	72	47	59	34	67	38	74	34	18	9	5	5	6	8
USP46	0	6	11	10	4	5	3	4	8	4	1	2	4	3	2	5
USP46-AS1	7	14	19	10	15	10	1	1	15	2	8	9	8	3	10	12
USP47	4823	5021	5236	5912	5845	3415	4738	3958	3013	2539	1266	1412	897	898	1348	1626
USP48	14	18	13	20	17	10	24	25	30	20	16	26	10	21	7	16
USP49	12	12	6	10	11	5	6	5	17	9	1	1	0	1	3	6
USP5	7115	9052	4993	5730	4820	3610	5775	4748	2522	2362	1386	1586	955	1161	1639	1710
USP50	77	61	35	32	30	14	18	31	4	3	2	0	0	0	0	0
USP53	3339	3309	4490	4323	3965	2298	4472	3743	1669	1405	1335	1216	1034	773	1361	1378
USP54	70	78	55	82	117	68	99	97	95	82	14	7	4	8	13	12
USP6	17	17	19	8	8	7	26	19	120	65	56	43	81	70	42	52
USP6NL	42	63	50	62	54	39	54	54	33	31	17	8	10	3	6	19
USP7	102	147	200	264	130	88	163	124	350	300	76	63	48	71	65	70
USP8	4350	4486	5778	6012	4421	2675	5011	4364	2712	2229	1865	1993	1295	1075	1835	1837
USP8P1	31	20	14	30	25	17	35	27	13	10	20	18	9	10	11	9
USP9X	33227	36033	36577	37401	28427	17967	26470	22418	16465	12556	4730	4647	3367	3448	4269	5151
USP9Y	0	1	0	1	0	0	5	1	41	67	186	230	244	182	201	226
USPL1	1092	1059	1232	1209	883	508	812	592	2606	1767	448	514	293	281	515	598
UST	421	496	559	518	501	327	529	452	234	225	407	426	229	193	471	549
UTF1	0	2	13	36	0	0	0	3	2	1	15	18	116	72	8	5
UTP11L	1737	1748	2143	2271	2194	1363	2713	2264	2886	2066	974	910	608	617	995	1061
UTP14A	2808	2973	3793	3668	4668	3058	5549	4593	3918	3372	1644	1603	1052	903	1652	1729
UTP14C	351	352	354	368	288	225	300	245	205	164	261	267	206	207	340	412
UTP15	1319	1264	1195	1139	1127	692	1212	936	2019	1574	965	907	548	424	989	1009
UTP18	1322	1348	892	1017	539	379	249	151	1538	1227	1090	1062	623	587	1039	913
UTP20	1467	1533	2003	1994	1683	992	1671	1407	3710	3085	1969	2052	1686	1541	2151	2217
UTP23	338	359	367	409	320	240	371	305	990	750	410	418	251	276	382	473
UTP3	226	271	293	274	207	162	286	172	3097	2541	717	693	592	547	727	786
UTP6	23	30	47	21	13	26	22	18	44	45	15	16	23	8	14	33
UTRN	1326	1396	1003	1222	2299	1537	1869	1642	1196	1045	4003	4284	3802	3500	5050	5525
UTS2B	10	20	17	6	12	2	15	15	1	2	0	0	1	0	0	0
UVRAG	745	773	780	808	771	537	845	686	665	502	367	371	332	259	343	318
UVSSA	255	302	153	234	335	257	335	305	336	291	86	55	68	115	124	93
UXS1	38	61	66	79	82	52	92	77	84	86	20	14	7	8	5	15
UXT	22	39	42	51	12	11	16	13	33	16	34	15	11	11	18	22
VAC14	26	30	25	26	22	8	27	13	18	17	15	10	13	11	25	19
VAC14-AS1	6	0	9	15	3	0	7	4	37	37	17	21	36	29	24	8
VAMP1	1	0	0	0	1	0	1	1	38	36	10	2	5	6	0	4
VAMP3	2993	3126	2257	2751	3033	1946	4903	4065	2493	1806	1233	1318	868	773	1256	1382
VAMP4	11	13	16	34	14	6	7	13	8	12	6	3	0	1	2	1
VAMP5	8	21	0	27	2	4	13	8	21	13	29	34	7	7	24	26
VAMP7	4	4	8	9	7	5	12	9	3	6	5	1	6	1	3	4
VAMP8	192	260	80	101	53	60	120	120	88	81	906	934	405	353	987	1030
VANGL1	1165	1325	1155	1119	1384	856	1298	1136	321	335	416	419	275	244	414	478
VANGL2	47	52	60	114	33	20	50	55	25	31	168	149	229	242	131	152
VAPA	721	686	1107	1119	681	382	706	538	2826	2447	2823	2866	1889	1707	3436	3288
VAPB	4360	5040	4272	4353	3417	2207	3708	3081	1559	1263	1085	1213	946	827	1351	1265
VARS	8	8	15	7	14	9	12	6	5	8	28	37	44	32	35	50
VARS2	988	1151	448	789	552	469	723	542	249	340	227	215	262	256	236	271
VASH1	598	728	1020	1424	1029	683	360	340	364	282	192	210	220	222	112	147
VASH2	23	27	67	63	25	12	26	40	157	232	80	85	98	120	42	46
VASN	249	428	304	342	206	193	231	194	226	236	96	94	32	48	72	77
VASP	388	448	438	642	434	326	411	285	1980	1597	1782	1680	1473	1479	1777	1937
VAT1	110	163	111	126	72	56	118	76	101	92	31	51	39	38	56	53
VAT1L	12	12	4	34	6	6	22	19	35	31	26	24	5	14	19	31
VAV1	1	0	0	0	0	0	2	3	1	7	6	13	8	27	15	13
VAV2	4	3	3	1	5	1	5	2	7	5	12	23	25	26	29	23
VAV3	130	119	131	139	122	76	171	127	92	100	8	11	0	2	6	6
VAV3-AS1	157	166	221	216	160	96	199	181	78	65	0	5	1	0	1	3
VBP1	585	536	682	689	425	274	451	344	906	612	1039	1041	791	616	934	1046
VCAM1	27	9	0	0	6	3	29	10	0	17	1	2	2	0	0	0
VCAN	3981	4085	24412	24977	558	305	2309	2007	987	853	832	817	1489	1377	185	278
VCL	3493	3782	6250	7124	3191	2044	3652	3101	1708	1453	1694	1645	2122	2290	2166	2281
VCP	24	36	28	41	16	13	44	25	95	99	96	111	122	109	117	120
VCPIP1	45	79	111	112	96	44	93	48	72	66	5	4	9	8	5	9
VCX	0	1	0	0	0	1	4	0	54	90	137	112	78	49	93	86
VCX3B	1	0	0	0	0	0	2	0	81	112	178	203	105	96	95	91
VDAC1	37	33	45	50	37	18	42	44	26	23	52	48	59	28	60	81
VDAC1P1	141	144	92	127	118	67	235	198	114	69	189	172	113	121	192	210
VDAC1P8	1	0	0	2	0	1	4	4	18	15	30	33	12	16	36	34
VDAC2	341	396	258	266	151	91	248	195	1355	1230	2129	2211	1473	1206	2403	2183
VDAC3	2652	3176	1666	1783	1225	835	1946	1569	728	828	1545	1531	1044	942	1622	1596
VEGFA	56	106	307	202	10	11	112	100	215	180	322	404	558	568	384	319
VEGFB	33	52	47	46	12	10	44	32	35	41	72	89	51	46	72	43
VENTX	0	0	0	3	0	0	2	2	2	5	40	52	294	285	24	33
VENTXP1	43	35	8	29	48	40	31	36	28	29	0	0	0	1	0	0
VEPH1	66	50	23	47	24	23	36	32	6	5	0	1	0	0	0	3
VEZF1	47	55	62	56	46	48	64	45	27	26	3	7	12	2	2	10
VEZT	289	342	581	620	384	218	426	315	590	448	621	633	823	735	662	601
VGLL1	0	0	0	0	0	0	3	0	0	2	321	394	463	407	503	502
VGLL2	0	0	2	1	0	0	9	1	13	6	0	0	0	0	0	0
VGLL4	30	43	70	56	36	38	49	17	22	19	7	24	6	5	10	14
VHL	722	826	630	879	876	650	824	757	1200	1014	745	710	563	559	884	968
VIL1	2303	2876	1435	1571	1921	1291	2286	1859	786	727	25	14	28	54	17	37
VILL	12	14	6	38	6	8	19	10	28	18	19	26	7	20	19	24
VIM	1363	1525	5753	6464	216	145	2389	1884	3197	2891	1113	1084	20	46	52	150
VIMP	16	16	7	17	14	4	8	7	34	23	12	20	11	9	5	18
VIP	0	0	0	0	0	0	0	0	1	1	0	7	0	6	3	10
VIPAS39	13	22	21	31	21	22	25	17	7	8	5	4	2	3	5	10
VIPR1	0	1	0	0	0	0	1	3	0	26	0	3	4	6	8	0
VIPR2	10	15	4	11	9	14	15	18	22	21	3	1	0	0	2	1
VIT	33	31	48	26	5	6	10	12	12	41	13	5	1	0	0	2
VKORC1	29	28	19	30	9	5	24	16	16	26	7	10	3	2	5	14
VKORC1L1	1944	2116	2362	2592	2219	1441	2868	2419	1656	1279	846	804	497	610	890	1045
VLDLR	8949	10844	6595	7739	4347	2943	4929	4074	2060	1728	107	132	62	81	69	118
VLDLR-AS1	19	24	16	12	20	18	32	37	24	9	2	2	0	3	1	0
VMA21	352	411	470	404	247	137	451	390	453	395	1040	982	649	667	1538	1433
VMAC	522	632	397	586	390	290	404	303	142	143	8	16	25	7	13	18
VMP1	1293	1460	2250	2246	1322	837	1571	1264	2805	1964	1485	1599	1608	1423	1650	1767
VN1R32P	55	66	45	25	26	24	39	34	28	14	1	0	0	0	1	3
VN1R5	0	0	0	0	0	0	0	0	13	0	2	0	0	0	2	0
VN1R81P	9	0	1	0	0	0	0	2	5	5	6	7	9	12	15	21
VN1R82P	21	8	14	22	13	4	5	20	16	10	10	20	14	22	6	17
VN1R88P	1	0	0	1	1	2	0	2	37	48	5	4	3	2	2	7
VN1R90P	0	0	0	0	0	0	3	0	32	36	0	0	0	3	0	2
VN2R11P	0	0	0	0	0	0	1	0	4	10	0	0	0	0	0	0
VOPP1	5	9	5	12	3	2	5	4	1	0	3	11	0	0	3	3
VPRBP	162	180	157	181	168	141	232	236	109	83	34	45	16	24	33	42
VPS11	1339	1803	1175	1275	1275	866	1372	1214	1092	1085	566	676	605	481	680	774
VPS13A	4154	3937	6249	6776	5858	3464	5022	4205	3780	2754	1041	1024	815	704	1114	1283
VPS13B	14848	15258	16445	16280	16027	10138	19174	16371	9951	7904	1116	1099	874	849	1016	1185
