   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC005550.3	2	1	0	3	1	2	1	2	0	1	6	3	20	0	0	4
AC005562.1	22	11	30	16	11	11	19	10	156	134	56	52	49	97	29	79
AC005592.1	276	259	213	225	364	201	390	279	150	111	2	2	0	0	0	10
AC005592.2	15	12	5	11	9	11	12	15	5	7	0	4	0	0	0	0
AC005618.6	1	0	0	0	2	0	2	0	27	50	0	1	0	0	0	1
AC005682.5	48	56	73	44	48	31	59	56	385	259	334	338	336	348	357	435
AC005682.7	2	7	5	3	6	1	8	2	8	11	1	5	2	5	6	2
AC005785.2	6	9	3	5	4	2	9	6	49	53	9	12	13	14	6	11
AC005789.11	31	44	23	10	15	10	24	20	21	23	12	20	8	13	6	9
AC005795.1	73	90	54	72	88	76	139	115	192	189	206	174	128	116	177	183
AC005808.3	0	0	0	0	0	0	5	0	34	25	6	3	5	4	3	1
AC005863.2	4	3	0	0	0	0	1	2	42	38	0	0	0	0	0	5
AC005884.1	1	4	3	1	2	0	0	1	4	4	8	10	3	6	5	4
AC006042.8	0	1	0	1	1	0	1	0	23	13	0	3	6	2	5	3
AC006050.2	12	16	1	12	1	3	4	2	0	0	0	0	0	0	0	0
AC006111.1	5	4	7	5	0	1	13	2	2	0	12	10	15	4	15	15
AC006116.12	1	2	7	5	3	1	1	1	13	5	2	4	4	1	0	6
AC006116.17	13	9	6	3	11	5	6	11	51	54	1	0	0	2	3	0
AC006116.20	36	37	49	49	31	13	44	29	42	41	16	15	10	11	10	16
AC006116.21	7	6	1	2	3	3	8	11	1	2	1	5	0	0	0	0
AC006129.1	0	3	0	0	0	0	8	0	272	210	1	7	0	0	0	7
AC006195.2	18	7	3	9	11	6	10	12	22	15	4	11	2	7	10	0
AC006273.5	0	0	0	0	0	0	2	1	2	27	22	22	10	21	27	39
AC006277.2	14	14	8	14	4	5	3	8	0	0	1	1	1	0	0	0
AC006296.1	9	8	8	11	4	3	7	2	4	6	0	0	0	0	0	0
AC006296.2	29	30	11	20	8	8	12	8	4	2	2	0	0	1	0	0
AC006372.1	48	70	60	47	63	26	61	57	16	17	1	0	0	0	0	1
AC006372.4	3	3	3	1	0	1	2	2	20	5	3	5	0	0	3	2
AC006486.1	11	20	8	27	16	13	25	21	50	28	42	65	19	32	42	34
AC006499.5	5	6	2	2	7	4	3	7	10	16	1	1	0	0	0	2
AC006539.3	0	0	0	0	0	0	1	1	8	14	0	3	5	7	1	4
AC006942.4	0	0	0	0	0	0	1	1	5	0	1	2	2	10	5	4
AC006946.15	7	18	1	24	4	4	4	8	2	9	2	2	0	0	1	1
